axis_ratio,removal,seed,eigengap,axis_drift_degrees
1.01,0.5,16,0.06092849083729543,59.9853725121671
1.01,0.9,16,0.1589707538705927,63.01667215564642
1.01,0.01,17,0.019591096105581896,7.87278514131125
1.01,0.1,17,0.024097003516832336,9.743803618080316
1.01,0.5,17,0.05000988266503189,5.193415000069349
1.01,0.9,17,0.048218617631999285,61.029322488202155
1.01,0.01,18,0.015411183999644449,8.309687653461022
1.01,0.1,18,0.026852761269009068,12.470122556411715
1.01,0.5,18,0.0010446339129457222,37.83427597850341
1.01,0.9,18,0.2452972659879359,48.62339068660315
1.01,0.01,19,0.01592409137474078,2.3090428052233842
1.01,0.1,19,0.03491197273024171,19.565526748155058
1.01,0.5,19,0.042525519754196765,13.148291292469166
1.01,0.9,19,0.014682284434783152,38.14861462944758
1.01,0.01,20,0.021063768523258575,0.014273974908010951
1.01,0.1,20,0.02576484660540593,7.961945912269378
1.01,0.5,20,0.08887809715735447,45.57075472262495
1.01,0.9,20,0.05014937409049432,72.75138274678294
1.01,0.01,21,0.022286560388215533,7.4553418804931955
1.01,0.1,21,0.017598325530397183,15.24707087940179
1.01,0.5,21,0.013512344751277218,68.35349749640555
1.01,0.9,21,0.17737340869839138,13.044881295618866
1.01,0.01,22,0.017821292878031126,4.651011026814318
1.01,0.1,22,0.027791880031970504,2.7116119977360595
1.01,0.5,22,0.051256257340764236,48.540963382096095
1.01,0.9,22,0.1367995497889791,50.330163862902275
1.01,0.01,23,0.017235186064121496,0.7541488926526669
1.01,0.1,23,0.014711653397321656,7.0709523647466375
1.01,0.5,23,0.031048198379890073,33.94980851687099
1.01,0.9,23,0.04571619748562333,83.16130517648814
1.01,0.01,24,0.022686043228502567,10.546973337756294
1.01,0.1,24,0.019416551733047398,2.745253220900037
1.01,0.5,24,0.02854539227495609,56.35880997987449
1.01,0.9,24,0.049752905430798945,69.91511669737412
1.01,0.01,25,0.01961791086263367,1.388422408761995
1.01,0.1,25,0.013862246387780478,14.092529047403154
1.01,0.5,25,0.011846309043775725,53.124187960381754
1.01,0.9,25,0.12785437906971725,3.463168963660673
1.01,0.01,26,0.022111210486810293,2.5796793769753825
1.01,0.1,26,0.03486886589893069,3.9707352478295
1.01,0.5,26,0.07404665378813144,30.245674315432435
1.01,0.9,26,0.2273700869404238,15.779564858292684
1.01,0.01,27,0.01655790745202079,4.927840863026112
1.01,0.1,27,0.02589752990904925,13.08631117628553
1.01,0.5,27,0.01004218616326605,59.64364431911614
1.01,0.9,27,0.21216253179122407,76.11487375423556
1.01,0.01,28,0.022323873341808614,0.3837032017186938
1.01,0.1,28,0.028622450368729114,3.457008726973563
1.01,0.5,28,0.04806196524683175,4.493847204853724
1.01,0.9,28,0.06919551841197703,57.38608572341506
1.01,0.01,29,0.02125958465426945,0.17347535197637193
1.01,0.1,29,0.017862495088028733,20.42665919845406
1.01,0.5,29,0.02263730970553507,62.27633171749477
1.01,0.9,29,0.10987269317667453,55.27487309870925
1.1,0.01,0,0.1740503133545838,0.18198019832893472
1.1,0.1,0,0.18552842869911607,1.2256258344418063
1.1,0.5,0,0.13415898291914918,5.93474075144677
1.1,0.9,0,0.20594399276667488,4.491680638006383
1.1,0.01,1,0.17720671137832808,0.4049245228147676
1.1,0.1,1,0.1691458709130202,0.15192388006891688
1.1,0.5,1,0.1967906147797347,0.29240972764838097
1.1,0.9,1,0.05125568240388226,36.87967693368047
1.1,0.01,2,0.1729242578850116,0.18601107431584601
1.1,0.1,2,0.1599712386687143,0.21087135809587645
1.1,0.5,2,0.16608092054551307,2.7888973419386565
1.1,0.9,2,0.27871355964870037,6.855303180791628
1.1,0.01,3,0.1799736836070676,0.01842469580813634
