dataset,attack,attack_seed,sampling_seed,cap,nc,bit_accuracy,empty_bins
Railways,vertex_delete_50pct,2,0,1000000,0.9912429266746571,0.9892578125,0
Railways,vertex_delete_50pct,2,1,1000000,0.9912429266746571,0.9892578125,0
Railways,vertex_delete_50pct,2,2,1000000,0.9912429266746571,0.9892578125,0
Railways,vertex_delete_50pct,2,3,1000000,0.9912429266746571,0.9892578125,0
Railways,vertex_delete_50pct,2,4,1000000,0.9912429266746571,0.9892578125,0
Railways,vertex_delete_50pct,2,5,1000000,0.9912429266746571,0.9892578125,0
Railways,vertex_delete_50pct,2,6,1000000,0.9912429266746571,0.9892578125,0
Railways,vertex_delete_50pct,2,7,1000000,0.9912429266746571,0.9892578125,0
Railways,vertex_delete_50pct,2,8,1000000,0.9912429266746571,0.9892578125,0
Railways,vertex_delete_50pct,2,9,1000000,0.9912429266746571,0.9892578125,0
Railways,object_delete_90pct,2,0,1,0.8443029027051451,0.814453125,6
Railways,object_delete_90pct,2,1,1,0.8571121938310652,0.8291015625,6
Railways,object_delete_90pct,2,2,1,0.8553208054643562,0.8291015625,6
Railways,object_delete_90pct,2,3,1,0.853482247551391,0.8271484375,6
Railways,object_delete_90pct,2,4,1,0.8571655640731283,0.828125,6
Railways,object_delete_90pct,2,5,1,0.8347085155560866,0.8056640625,6
Railways,object_delete_90pct,2,6,1,0.859295922704884,0.83203125,6
Railways,object_delete_90pct,2,7,1,0.8614023749225725,0.83203125,6
Railways,object_delete_90pct,2,8,1,0.8436958338752908,0.814453125,6
Railways,object_delete_90pct,2,9,1,0.8580772974756243,0.8291015625,6
Railways,object_delete_90pct,2,0,3,0.9180823705579532,0.900390625,6
Railways,object_delete_90pct,2,1,3,0.9195812815487446,0.90234375,6
Railways,object_delete_90pct,2,2,3,0.9245137707019668,0.908203125,6
Railways,object_delete_90pct,2,3,3,0.9296297486279418,0.9140625,6
Railways,object_delete_90pct,2,4,3,0.9231195978613049,0.90625,6
Railways,object_delete_90pct,2,5,3,0.9231195978613049,0.90625,6
Railways,object_delete_90pct,2,6,3,0.9276336570439175,0.912109375,6
Railways,object_delete_90pct,2,7,3,0.9366988571796712,0.9228515625,6
Railways,object_delete_90pct,2,8,3,0.9152754442692929,0.8974609375,6
Railways,object_delete_90pct,2,9,3,0.9194078031826161,0.9013671875,6
Railways,object_delete_90pct,2,0,5,0.9436957765150968,0.9306640625,6
Railways,object_delete_90pct,2,1,5,0.9413640981470927,0.927734375,6
Railways,object_delete_90pct,2,2,5,0.9431385542086914,0.9296875,6
Railways,object_delete_90pct,2,3,5,0.9430426967085489,0.9296875,6
Railways,object_delete_90pct,2,4,5,0.9404292084850417,0.9267578125,6
Railways,object_delete_90pct,2,5,5,0.9461184622791488,0.93359375,6
Railways,object_delete_90pct,2,6,5,0.9405236898713486,0.9267578125,6
Railways,object_delete_90pct,2,7,5,0.9412698412698413,0.927734375,6
Railways,object_delete_90pct,2,8,5,0.9462072695162957,0.93359375,6
Railways,object_delete_90pct,2,9,5,0.94453367423513,0.931640625,6
Railways,object_delete_90pct,2,0,10,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,1,10,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,2,10,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,3,10,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,4,10,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,5,10,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,6,10,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,7,10,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,8,10,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,9,10,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,0,1000000,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,1,1000000,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,2,1000000,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,3,1000000,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,4,1000000,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,5,1000000,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,6,1000000,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,7,1000000,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,8,1000000,0.9479683941093622,0.935546875,6
Railways,object_delete_90pct,2,9,1000000,0.9479683941093622,0.935546875,6
Railways,vertex_delete_50pct,3,0,1,0.7364693774916162,0.69140625,0
Railways,vertex_delete_50pct,3,1,1,0.7611270540610392,0.7138671875,0
Railways,vertex_delete_50pct,3,2,1,0.7471864708541784,0.6962890625,0
Railways,vertex_delete_50pct,3,3,1,0.7250371641798479,0.67578125,0
Railways,vertex_delete_50pct,3,4,1,0.7506958380235647,0.705078125,0
Railways,vertex_delete_50pct,3,5,1,0.7365454454045204,0.6962890625,0
Railways,vertex_delete_50pct,3,6,1,0.755283284357414,0.7119140625,0
Railways,vertex_delete_50pct,3,7,1,0.7317075758610452,0.6865234375,0
Railways,vertex_delete_50pct,3,8,1,0.7273090842762484,0.685546875,0
Railways,vertex_delete_50pct,3,9,1,0.7478381994758666,0.7001953125,0
Railways,vertex_delete_50pct,3,0,3,0.8141298085442433,0.7822265625,0
Railways,vertex_delete_50pct,3,1,3,0.8220273233961092,0.791015625,0
Railways,vertex_delete_50pct,3,2,3,0.8157123702275371,0.779296875,0
Railways,vertex_delete_50pct,3,3,3,0.8106951856109983,0.7744140625,0
Railways,vertex_delete_50pct,3,4,3,0.8233935043839057,0.7890625,0
Railways,vertex_delete_50pct,3,5,3,0.8065206986862986,0.771484375,0
Railways,vertex_delete_50pct,3,6,3,0.8222511467423871,0.787109375,0
Railways,vertex_delete_50pct,3,7,3,0.8297216844473545,0.796875,0
Railways,vertex_delete_50pct,3,8,3,0.814678239452333,0.779296875,0
Railways,vertex_delete_50pct,3,9,3,0.8143728956175776,0.7802734375,0
Railways,vertex_delete_50pct,3,0,5,0.8739511798611886,0.84765625,0
Railways,vertex_delete_50pct,3,1,5,0.8444803123398477,0.818359375,0
Railways,vertex_delete_50pct,3,2,5,0.8580772974756243,0.8291015625,0
Railways,vertex_delete_50pct,3,3,5,0.8594424654990512,0.828125,0
Railways,vertex_delete_50pct,3,4,5,0.8743287614429657,0.8486328125,0
Railways,vertex_delete_50pct,3,5,5,0.8521956802909253,0.8232421875,0
Railways,vertex_delete_50pct,3,6,5,0.8574694197063949,0.830078125,0
Railways,vertex_delete_50pct,3,7,5,0.8671443441788924,0.8388671875,0
Railways,vertex_delete_50pct,3,8,5,0.8573016618149208,0.8291015625,0
Railways,vertex_delete_50pct,3,9,5,0.8700388701311361,0.841796875,0
Railways,vertex_delete_50pct,3,0,10,0.9257444954760554,0.9052734375,0
Railways,vertex_delete_50pct,3,1,10,0.9283766556868991,0.9091796875,0
Railways,vertex_delete_50pct,3,2,10,0.9316144470652363,0.9130859375,0
Railways,vertex_delete_50pct,3,3,10,0.932603129976525,0.9140625,0
Railways,vertex_delete_50pct,3,4,10,0.9330547140577853,0.916015625,0
Railways,vertex_delete_50pct,3,5,10,0.9377355905497139,0.921875,0
Railways,vertex_delete_50pct,3,6,10,0.9338618288972997,0.916015625,0
Railways,vertex_delete_50pct,3,7,10,0.9230389269067681,0.90234375,0
Railways,vertex_delete_50pct,3,8,10,0.936687438467794,0.919921875,0
Railways,vertex_delete_50pct,3,9,10,0.9236929610739278,0.904296875,0
Railways,vertex_delete_50pct,3,0,1000000,0.993662103599709,0.9921875,0
Railways,vertex_delete_50pct,3,1,1000000,0.993662103599709,0.9921875,0
Railways,vertex_delete_50pct,3,2,1000000,0.993662103599709,0.9921875,0
Railways,vertex_delete_50pct,3,3,1000000,0.993662103599709,0.9921875,0
Railways,vertex_delete_50pct,3,4,1000000,0.993662103599709,0.9921875,0
Railways,vertex_delete_50pct,3,5,1000000,0.993662103599709,0.9921875,0
Railways,vertex_delete_50pct,3,6,1000000,0.993662103599709,0.9921875,0
Railways,vertex_delete_50pct,3,7,1000000,0.993662103599709,0.9921875,0
Railways,vertex_delete_50pct,3,8,1000000,0.993662103599709,0.9921875,0
Railways,vertex_delete_50pct,3,9,1000000,0.993662103599709,0.9921875,0
Railways,object_delete_90pct,3,0,1,0.8095953034970963,0.775390625,7
Railways,object_delete_90pct,3,1,1,0.8146287937978793,0.783203125,7
Railways,object_delete_90pct,3,2,1,0.7991741190498188,0.7666015625,7
Railways,object_delete_90pct,3,3,1,0.8207994363624048,0.7890625,7
