dataset,mode,attack,n,nc_mean,nc_std,ba_mean,ba_std,ber_mean,empty_mean,votes_mean,extraction_seconds_mean
Lake,legacy,rotation_315,1,1.0,0.0,1.0,0.0,0.0,0.0,64.2900390625,0.1311163330101408
Lake,legacy,rotation_45,1,1.0,0.0,1.0,0.0,0.0,0.0,64.287109375,0.13099954096833244
Lake,legacy,rotation_90,1,1.0,0.0,1.0,0.0,0.0,0.0,64.2001953125,0.13515262497821823
Lake,legacy,scale_0p5,1,1.0,0.0,1.0,0.0,0.0,0.0,63.244140625,0.1269538749475032
Lake,legacy,translation_10,1,1.0,0.0,1.0,0.0,0.0,0.0,64.1572265625,0.1302328750025481
Lake,legacy,vertex_add_10pct,1,0.9984126984126984,0.0,0.998046875,0.0,0.001953125,0.0,70.5029296875,0.1455821660347283
Lake,legacy,vertex_add_30pct,1,0.9824172109183679,0.0,0.978515625,0.0,0.021484375,0.0,83.1572265625,0.16147870797431096
Lake,legacy,vertex_add_50pct,1,0.9394637594497343,0.0,0.9267578125,0.0,0.0732421875,0.0,95.720703125,0.18325724999886006
Lake,legacy,vertex_delete_30pct,1,0.980114167674569,0.0,0.9755859375,0.0,0.0244140625,0.0,45.7763671875,0.10608429100830108
Lake,legacy,vertex_delete_50pct,1,0.9192671669651021,0.0,0.90234375,0.0,0.09765625,0.0,33.482421875,0.07761091698193923
Landuse,legacy,compound,1,0.8937081801542928,0.0,0.8701171875,0.0,0.1298828125,0.0,25.083984375,0.06917620898457244
Landuse,legacy,crop_half_x,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,41.591796875,0.1026735000195913
Landuse,legacy,no_attack,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,41.69140625,0.10333200002787635
Landuse,legacy,noise_10pct_0p6tau,1,0.9976212494588167,0.0,0.9970703125,0.0,0.0029296875,0.0,41.9345703125,0.10162520798621699
Landuse,legacy,noise_50pct_1p4tau,1,0.8704278541370057,0.0,0.841796875,0.0,0.158203125,0.0,42.638671875,0.11115199996856973
Landuse,legacy,object_delete_30pct,1,0.9984126984126984,0.0,0.998046875,0.0,0.001953125,0.0,30.7890625,0.08484162500826642
Landuse,legacy,object_delete_90pct,1,0.9217025570731429,0.0,0.90234375,0.0,0.09765625,4.0,4.4765625,0.013909582979977131
