dataset,mode,attack,seed,nc,bit_accuracy,ber,extraction_seconds,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,ties,variant,eigengap,retained_vertices
Lake,legacy,object_delete_90pct,0,0.9049694551062131,0.880859375,0.119140625,0.017503500042948872,6616,0,1,6.0,6.4609375,20,88,embed_pca_key,0.3522292404236721,6637
Lake,legacy,vertex_add_10pct,0,0.9984126984126984,0.998046875,0.001953125,0.1455821660347283,72195,0,43,70.0,70.5029296875,107,2,embed_pca_key,0.06951052252897999,72385
Lake,legacy,vertex_add_30pct,0,0.9824172109183679,0.978515625,0.021484375,0.16147870797431096,85153,0,56,83.0,83.1572265625,119,6,embed_pca_key,0.07033178353871371,85343
Lake,legacy,vertex_add_50pct,0,0.9394637594497343,0.9267578125,0.0732421875,0.18325724999886006,98018,0,62,96.0,95.720703125,130,13,embed_pca_key,0.07108458636400837,98208
Lake,legacy,noise_10pct_0p6tau,0,0.9968216095175163,0.99609375,0.00390625,0.13509279099525884,65786,0,37,64.0,64.244140625,99,1,embed_pca_key,0.047902884353954754,66221
Lake,legacy,noise_50pct_1p4tau,0,0.8287899232572371,0.794921875,0.205078125,0.1305999580072239,65926,0,40,64.0,64.380859375,93,28,embed_pca_key,0.008286237655843139,67063
Lake,legacy,crop_half_x,0,0.9992060340153568,0.9990234375,0.0009765625,0.12144804198760539,63115,0,34,62.0,61.6357421875,91,0,embed_pca_key,0.08335787790495147,63320
Lake,legacy,translation_10,0,1.0,1.0,0.0,0.1302328750025481,65697,0,36,64.0,64.1572265625,93,0,embed_pca_key,0.0712294608457703,65928
Lake,legacy,scale_0p5,0,1.0,1.0,0.0,0.1269538749475032,64762,0,34,63.0,63.244140625,92,0,embed_pca_key,0.07122946084577082,65928
Lake,legacy,rotation_45,0,1.0,1.0,0.0,0.13099954096833244,65830,0,34,64.0,64.287109375,96,0,pca_++,0.07122946084576887,65928
Lake,legacy,rotation_90,0,1.0,1.0,0.0,0.13515262497821823,65741,0,34,64.0,64.2001953125,93,0,pca_++,0.0712294608457706,65928
Lake,legacy,rotation_135,0,1.0,1.0,0.0,0.1318533329758793,65829,0,34,64.0,64.2861328125,95,0,pca_++,0.07122946084576887,65928
Lake,legacy,rotation_180,0,1.0,1.0,0.0,0.13024341699201614,65739,0,35,64.0,64.1982421875,94,0,pca_++,0.0712294608457707,65928
Lake,legacy,rotation_225,0,1.0,1.0,0.0,0.12835462496150285,65831,0,34,64.0,64.2880859375,94,0,pca_++,0.07122946084577012,65928
Lake,legacy,rotation_270,0,1.0,1.0,0.0,0.13235966605134308,65741,0,34,64.0,64.2001953125,93,0,pca_++,0.0712294608457706,65928
Lake,legacy,rotation_315,0,1.0,1.0,0.0,0.1311163330101408,65833,0,35,64.0,64.2900390625,93,0,pca_++,0.07122946084576752,65928
Lake,legacy,reverse_vertices,0,1.0,1.0,0.0,0.1331211660290137,65739,0,39,64.0,64.1982421875,94,0,embed_pca_key,0.07122946084577057,65928
Lake,legacy,reverse_objects,0,1.0,1.0,0.0,0.14259366696933284,65738,0,37,64.0,64.197265625,93,1,embed_pca_key,0.07122946084577055,65928
Lake,legacy,compound,0,0.8491213024464579,0.8193359375,0.1806640625,0.09171029197750613,37826,0,17,36.0,36.939453125,58,45,embed_pca_key,0.04280136985525841,38670
