dataset,mode,attack,seed,nc,bit_accuracy,ber,extraction_seconds,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,ties,variant,eigengap,retained_vertices
Boundary,audited,reverse_vertices,0,1.0,1.0,0.0,0.19460562500171363,123780,0,89,121.0,120.87890625,170,2,embed_pca_key,0.5115432108378785,123933
Boundary,audited,reverse_objects,0,1.0,1.0,0.0,0.22377908299677074,123780,0,89,121.0,120.87890625,170,1,embed_pca_key,0.5115432108378797,123933
Boundary,audited,vertex_delete_30pct,1,0.9728311310943005,0.966796875,0.033203125,0.1533379580359906,86906,0,55,85.0,84.869140625,122,8,embed_pca_key,0.5114873542341853,87059
Boundary,audited,vertex_delete_50pct,1,0.8737758176693735,0.84765625,0.15234375,0.10403112502535805,62288,0,34,60.0,60.828125,98,33,embed_pca_key,0.5124275829916751,62441
Boundary,audited,object_delete_30pct,1,0.9880860940501621,0.9853515625,0.0146484375,0.1416474999859929,80734,0,53,79.0,78.841796875,108,4,embed_pca_key,0.4676971718132669,80848
Boundary,audited,object_delete_90pct,1,0.8456955083581459,0.80859375,0.19140625,0.018853417015634477,10127,0,2,10.0,9.8896484375,23,94,embed_pca_key,0.5411664758146718,10145
Boundary,audited,vertex_add_10pct,1,0.9976212494588167,0.9970703125,0.0029296875,0.2324510829639621,136037,0,100,133.0,132.8486328125,179,3,embed_pca_key,0.5113823915848255,136184
Boundary,audited,vertex_add_30pct,1,0.9722909455458489,0.9658203125,0.0341796875,0.24724304204573855,160847,0,118,157.0,157.0771484375,227,10,embed_pca_key,0.5109506099052185,160976
Boundary,audited,vertex_add_50pct,1,0.9137566733558686,0.89453125,0.10546875,0.3118280830094591,185623,0,137,181.0,181.2724609375,270,10,embed_pca_key,0.5118824098341656,185739
Boundary,audited,noise_10pct_0p6tau_m,1,0.9904761904761905,0.98828125,0.01171875,0.19095708400709555,123799,0,86,121.0,120.8974609375,160,1,embed_pca_key,0.5115432098081524,123933
Boundary,audited,noise_50pct_1p4tau_m,1,0.8074063613286007,0.7705078125,0.2294921875,0.21246850001625717,123897,0,89,121.0,120.9931640625,158,23,embed_pca_key,0.5115432049240114,123933
Boundary,audited,legacy_noise_50pct_1p4degrees,1,0.8213080805936838,0.7861328125,0.2138671875,0.18957712495466694,123901,0,82,121.0,120.9970703125,155,26,embed_pca_key,0.4583644719868867,123933
Boundary,audited,compound_metric,1,0.8118215034068611,0.7763671875,0.2236328125,0.11761974997352809,63203,0,38,62.0,61.7216796875,91,36,embed_pca_key,0.536862627024841,63259
Boundary,audited,vertex_delete_30pct,2,0.9671384700418391,0.9599609375,0.0400390625,0.15937129099620506,86859,0,58,85.0,84.8232421875,116,11,embed_pca_key,0.5142390748818101,87012
Boundary,audited,vertex_delete_50pct,2,0.8841508293699839,0.859375,0.140625,0.10965879104332998,62451,0,40,61.0,60.9873046875,86,27,embed_pca_key,0.5133163336668131,62604
Boundary,audited,object_delete_30pct,2,0.9872826467470138,0.984375,0.015625,0.14487037499202415,78452,0,48,76.0,76.61328125,105,4,embed_pca_key,0.5314977571116051,78568
Boundary,audited,object_delete_90pct,2,0.8818400869620064,0.8544921875,0.1455078125,0.022943750023841858,12799,0,3,12.0,12.4990234375,24,80,embed_pca_key,0.5184786745450912,12805
Boundary,audited,vertex_add_10pct,2,0.9944302029662154,0.9931640625,0.0068359375,0.23071829095715657,136120,0,98,133.0,132.9296875,178,1,embed_pca_key,0.5105631430778937,136267
Boundary,audited,vertex_add_30pct,2,0.9746446470714849,0.96875,0.03125,0.25180029100738466,160836,0,114,157.0,157.06640625,218,3,embed_pca_key,0.5112188027206985,160969
