dataset,mode,attack,n,nc_mean,nc_std,ba_mean,ba_std,ber_mean,empty_mean,votes_mean,extraction_seconds_mean
Road,audited,rotation_315,1,0.9960352061369425,0.0,0.9951171875,0.0,0.0048828125,0.0,67.697265625,0.11829616699833423
Road,audited,rotation_45,1,0.9976212494588167,0.0,0.9970703125,0.0,0.0029296875,0.0,67.697265625,0.11823008395731449
Road,audited,rotation_90,1,0.998416467731765,0.0,0.998046875,0.0,0.001953125,0.0,67.697265625,0.11367479100590572
Road,audited,scale_0p5,1,0.998416467731765,0.0,0.998046875,0.0,0.001953125,0.0,67.697265625,0.1132717079599388
Road,audited,translation_10,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,67.697265625,0.11141991702606902
Road,audited,vertex_add_10pct,10,0.9946772533548316,0.0013551191095140021,0.99345703125,0.0016630260122974978,0.00654296875,0.0,74.38759765625,0.12753072081250139
Road,audited,vertex_add_30pct,10,0.9736163851926556,0.00418760627810011,0.967578125,0.005163380223671444,0.032421875,0.0,87.74638671875,0.15043246690183879
Road,audited,vertex_add_50pct,10,0.914013372955135,0.006234613027592951,0.8951171875,0.0071939367690423426,0.1048828125,0.0,101.0974609375,0.17059623330715112
Road,audited,vertex_delete_30pct,10,0.9680322021732112,0.005913670340059403,0.960546875,0.007281778079026268,0.039453125,0.0,47.89921875,0.08463317510904744
Road,audited,vertex_delete_50pct,10,0.8934170123425099,0.007793904677271085,0.869140625,0.010096394804212786,0.130859375,0.0,34.73037109375,0.0628320958930999
